dni,ghi,period_end,period
0,0,2025-01-01T00:15:00+00:00,PT15M
0,0,2025-01-01T00:30:00+00:00,PT15M
0,0,2025-01-01T00:45:00+00:00,PT15M
0,0,2025-01-01T01:00:00+00:00,PT15M
0,0,2025-01-01T01:15:00+00:00,PT15M
0,0,2025-01-01T01:30:00+00:00,PT15M
0,0,2025-01-01T01:45:00+00:00,PT15M
0,0,2025-01-01T02:00:00+00:00,PT15M
0,0,2025-01-01T02:15:00+00:00,PT15M
0,0,2025-01-01T02:30:00+00:00,PT15M
0,0,2025-01-01T02:45:00+00:00,PT15M
0,0,2025-01-01T03:00:00+00:00,PT15M
0,0,2025-01-01T03:15:00+00:00,PT15M
0,0,2025-01-01T03:30:00+00:00,PT15M
0,0,2025-01-01T03:45:00+00:00,PT15M
0,0,2025-01-01T04:00:00+00:00,PT15M
0,0,2025-01-01T04:15:00+00:00,PT15M
0,0,2025-01-01T04:30:00+00:00,PT15M
0,0,2025-01-01T04:45:00+00:00,PT15M
0,0,2025-01-01T05:00:00+00:00,PT15M
0,0,2025-01-01T05:15:00+00:00,PT15M
0,0,2025-01-01T05:30:00+00:00,PT15M
0,0,2025-01-01T05:45:00+00:00,PT15M
0,0,2025-01-01T06:00:00+00:00,PT15M
0,0,2025-01-01T06:15:00+00:00,PT15M
0,0,2025-01-01T06:30:00+00:00,PT15M
0,0,2025-01-01T06:45:00+00:00,PT15M
58,14,2025-01-01T07:00:00+00:00,PT15M
196,40,2025-01-01T07:15:00+00:00,PT15M
434,75,2025-01-01T07:30:00+00:00,PT15M
443,105,2025-01-01T07:45:00+00:00,PT15M
511,141,2025-01-01T08:00:00+00:00,PT15M
639,181,2025-01-01T08:15:00+00:00,PT15M
682,215,2025-01-01T08:30:00+00:00,PT15M
712,248,2025-01-01T08:45:00+00:00,PT15M
731,277,2025-01-01T09:00:00+00:00,PT15M
745,304,2025-01-01T09:15:00+00:00,PT15M
755,329,2025-01-01T09:30:00+00:00,PT15M
767,351,2025-01-01T09:45:00+00:00,PT15M
780,370,2025-01-01T10:00:00+00:00,PT15M
791,387,2025-01-01T10:15:00+00:00,PT15M
800,400,2025-01-01T10:30:00+00:00,PT15M
809,410,2025-01-01T10:45:00+00:00,PT15M
806,416,2025-01-01T11:00:00+00:00,PT15M
815,420,2025-01-01T11:15:00+00:00,PT15M
805,418,2025-01-01T11:30:00+00:00,PT15M
773,409,2025-01-01T11:45:00+00:00,PT15M
761,401,2025-01-01T12:00:00+00:00,PT15M
743,389,2025-01-01T12:15:00+00:00,PT15M
772,380,2025-01-01T12:30:00+00:00,PT15M
768,364,2025-01-01T12:45:00+00:00,PT15M
758,344,2025-01-01T13:00:00+00:00,PT15M
764,324,2025-01-01T13:15:00+00:00,PT15M
743,298,2025-01-01T13:30:00+00:00,PT15M
718,269,2025-01-01T13:45:00+00:00,PT15M
687,238,2025-01-01T14:00:00+00:00,PT15M
649,205,2025-01-01T14:15:00+00:00,PT15M
603,170,2025-01-01T14:30:00+00:00,PT15M
538,135,2025-01-01T14:45:00+00:00,PT15M
451,98,2025-01-01T15:00:00+00:00,PT15M
333,63,2025-01-01T15:15:00+00:00,PT15M
80,29,2025-01-01T15:30:00+00:00,PT15M
0,5,2025-01-01T15:45:00+00:00,PT15M
0,0,2025-01-01T16:00:00+00:00,PT15M
0,0,2025-01-01T16:15:00+00:00,PT15M
0,0,2025-01-01T16:30:00+00:00,PT15M
0,0,2025-01-01T16:45:00+00:00,PT15M
0,0,2025-01-01T17:00:00+00:00,PT15M
0,0,2025-01-01T17:15:00+00:00,PT15M
0,0,2025-01-01T17:30:00+00:00,PT15M
0,0,2025-01-01T17:45:00+00:00,PT15M
0,0,2025-01-01T18:00:00+00:00,PT15M
0,0,2025-01-01T18:15:00+00:00,PT15M
0,0,2025-01-01T18:30:00+00:00,PT15M
0,0,2025-01-01T18:45:00+00:00,PT15M
0,0,2025-01-01T19:00:00+00:00,PT15M
0,0,2025-01-01T19:15:00+00:00,PT15M
0,0,2025-01-01T19:30:00+00:00,PT15M
0,0,2025-01-01T19:45:00+00:00,PT15M
0,0,2025-01-01T20:00:00+00:00,PT15M
0,0,2025-01-01T20:15:00+00:00,PT15M
0,0,2025-01-01T20:30:00+00:00,PT15M
0,0,2025-01-01T20:45:00+00:00,PT15M
0,0,2025-01-01T21:00:00+00:00,PT15M
0,0,2025-01-01T21:15:00+00:00,PT15M
0,0,2025-01-01T21:30:00+00:00,PT15M
0,0,2025-01-01T21:45:00+00:00,PT15M
0,0,2025-01-01T22:00:00+00:00,PT15M
0,0,2025-01-01T22:15:00+00:00,PT15M
0,0,2025-01-01T22:30:00+00:00,PT15M
0,0,2025-01-01T22:45:00+00:00,PT15M
0,0,2025-01-01T23:00:00+00:00,PT15M
0,0,2025-01-01T23:15:00+00:00,PT15M
0,0,2025-01-01T23:30:00+00:00,PT15M
0,0,2025-01-01T23:45:00+00:00,PT15M
0,0,2025-01-02T00:00:00+00:00,PT15M
0,0,2025-01-02T00:15:00+00:00,PT15M
0,0,2025-01-02T00:30:00+00:00,PT15M
0,0,2025-01-02T00:45:00+00:00,PT15M
0,0,2025-01-02T01:00:00+00:00,PT15M
0,0,2025-01-02T01:15:00+00:00,PT15M
0,0,2025-01-02T01:30:00+00:00,PT15M
0,0,2025-01-02T01:45:00+00:00,PT15M
0,0,2025-01-02T02:00:00+00:00,PT15M
0,0,2025-01-02T02:15:00+00:00,PT15M
0,0,2025-01-02T02:30:00+00:00,PT15M
0,0,2025-01-02T02:45:00+00:00,PT15M
0,0,2025-01-02T03:00:00+00:00,PT15M
0,0,2025-01-02T03:15:00+00:00,PT15M
0,0,2025-01-02T03:30:00+00:00,PT15M
0,0,2025-01-02T03:45:00+00:00,PT15M
0,0,2025-01-02T04:00:00+00:00,PT15M
0,0,2025-01-02T04:15:00+00:00,PT15M
0,0,2025-01-02T04:30:00+00:00,PT15M
0,0,2025-01-02T04:45:00+00:00,PT15M
0,0,2025-01-02T05:00:00+00:00,PT15M
0,0,2025-01-02T05:15:00+00:00,PT15M
0,0,2025-01-02T05:30:00+00:00,PT15M
0,0,2025-01-02T05:45:00+00:00,PT15M
0,0,2025-01-02T06:00:00+00:00,PT15M
0,0,2025-01-02T06:15:00+00:00,PT15M
0,0,2025-01-02T06:30:00+00:00,PT15M
0,0,2025-01-02T06:45:00+00:00,PT15M
0,8,2025-01-02T07:00:00+00:00,PT15M
38,30,2025-01-02T07:15:00+00:00,PT15M
0,36,2025-01-02T07:30:00+00:00,PT15M
0,51,2025-01-02T07:45:00+00:00,PT15M
213,115,2025-01-02T08:00:00+00:00,PT15M
564,174,2025-01-02T08:15:00+00:00,PT15M
611,208,2025-01-02T08:30:00+00:00,PT15M
649,240,2025-01-02T08:45:00+00:00,PT15M
680,270,2025-01-02T09:00:00+00:00,PT15M
706,298,2025-01-02T09:15:00+00:00,PT15M
728,324,2025-01-02T09:30:00+00:00,PT15M
685,338,2025-01-02T09:45:00+00:00,PT15M
480,323,2025-01-02T10:00:00+00:00,PT15M
557,349,2025-01-02T10:15:00+00:00,PT15M
779,396,2025-01-02T10:30:00+00:00,PT15M
768,403,2025-01-02T10:45:00+00:00,PT15M
717,401,2025-01-02T11:00:00+00:00,PT15M
645,391,2025-01-02T11:15:00+00:00,PT15M
287,322,2025-01-02T11:30:00+00:00,PT15M
251,314,2025-01-02T11:45:00+00:00,PT15M
417,342,2025-01-02T12:00:00+00:00,PT15M
326,315,2025-01-02T12:15:00+00:00,PT15M
0,224,2025-01-02T12:30:00+00:00,PT15M
109,252,2025-01-02T12:45:00+00:00,PT15M
0,164,2025-01-02T13:00:00+00:00,PT15M
0,60,2025-01-02T13:15:00+00:00,PT15M
0,38,2025-01-02T13:30:00+00:00,PT15M
0,25,2025-01-02T13:45:00+00:00,PT15M
0,35,2025-01-02T14:00:00+00:00,PT15M
0,58,2025-01-02T14:15:00+00:00,PT15M
154,121,2025-01-02T14:30:00+00:00,PT15M
0,35,2025-01-02T14:45:00+00:00,PT15M
0,31,2025-01-02T15:00:00+00:00,PT15M
0,17,2025-01-02T15:15:00+00:00,PT15M
0,14,2025-01-02T15:30:00+00:00,PT15M
0,5,2025-01-02T15:45:00+00:00,PT15M
0,0,2025-01-02T16:00:00+00:00,PT15M
0,0,2025-01-02T16:15:00+00:00,PT15M
0,0,2025-01-02T16:30:00+00:00,PT15M
0,0,2025-01-02T16:45:00+00:00,PT15M
0,0,2025-01-02T17:00:00+00:00,PT15M
0,0,2025-01-02T17:15:00+00:00,PT15M
0,0,2025-01-02T17:30:00+00:00,PT15M
0,0,2025-01-02T17:45:00+00:00,PT15M
0,0,2025-01-02T18:00:00+00:00,PT15M
0,0,2025-01-02T18:15:00+00:00,PT15M
0,0,2025-01-02T18:30:00+00:00,PT15M
0,0,2025-01-02T18:45:00+00:00,PT15M
0,0,2025-01-02T19:00:00+00:00,PT15M
0,0,2025-01-02T19:15:00+00:00,PT15M
0,0,2025-01-02T19:30:00+00:00,PT15M
0,0,2025-01-02T19:45:00+00:00,PT15M
0,0,2025-01-02T20:00:00+00:00,PT15M
0,0,2025-01-02T20:15:00+00:00,PT15M
0,0,2025-01-02T20:30:00+00:00,PT15M
0,0,2025-01-02T20:45:00+00:00,PT15M
0,0,2025-01-02T21:00:00+00:00,PT15M
0,0,2025-01-02T21:15:00+00:00,PT15M
0,0,2025-01-02T21:30:00+00:00,PT15M
0,0,2025-01-02T21:45:00+00:00,PT15M
0,0,2025-01-02T22:00:00+00:00,PT15M
0,0,2025-01-02T22:15:00+00:00,PT15M
0,0,2025-01-02T22:30:00+00:00,PT15M
0,0,2025-01-02T22:45:00+00:00,PT15M
0,0,2025-01-02T23:00:00+00:00,PT15M
0,0,2025-01-02T23:15:00+00:00,PT15M
0,0,2025-01-02T23:30:00+00:00,PT15M
0,0,2025-01-02T23:45:00+00:00,PT15M
0,0,2025-01-03T00:00:00+00:00,PT15M
0,0,2025-01-03T00:15:00+00:00,PT15M
0,0,2025-01-03T00:30:00+00:00,PT15M
0,0,2025-01-03T00:45:00+00:00,PT15M
0,0,2025-01-03T01:00:00+00:00,PT15M
0,0,2025-01-03T01:15:00+00:00,PT15M
0,0,2025-01-03T01:30:00+00:00,PT15M
0,0,2025-01-03T01:45:00+00:00,PT15M
0,0,2025-01-03T02:00:00+00:00,PT15M
0,0,2025-01-03T02:15:00+00:00,PT15M
0,0,2025-01-03T02:30:00+00:00,PT15M
0,0,2025-01-03T02:45:00+00:00,PT15M
0,0,2025-01-03T03:00:00+00:00,PT15M
0,0,2025-01-03T03:15:00+00:00,PT15M
0,0,2025-01-03T03:30:00+00:00,PT15M
0,0,2025-01-03T03:45:00+00:00,PT15M
0,0,2025-01-03T04:00:00+00:00,PT15M
0,0,2025-01-03T04:15:00+00:00,PT15M
0,0,2025-01-03T04:30:00+00:00,PT15M
0,0,2025-01-03T04:45:00+00:00,PT15M
0,0,2025-01-03T05:00:00+00:00,PT15M
0,0,2025-01-03T05:15:00+00:00,PT15M
0,0,2025-01-03T05:30:00+00:00,PT15M
0,0,2025-01-03T05:45:00+00:00,PT15M
0,0,2025-01-03T06:00:00+00:00,PT15M
0,0,2025-01-03T06:15:00+00:00,PT15M
0,0,2025-01-03T06:30:00+00:00,PT15M
0,0,2025-01-03T06:45:00+00:00,PT15M
0,1,2025-01-03T07:00:00+00:00,PT15M
0,6,2025-01-03T07:15:00+00:00,PT15M
0,7,2025-01-03T07:30:00+00:00,PT15M
0,5,2025-01-03T07:45:00+00:00,PT15M
0,9,2025-01-03T08:00:00+00:00,PT15M
0,9,2025-01-03T08:15:00+00:00,PT15M
0,9,2025-01-03T08:30:00+00:00,PT15M
0,14,2025-01-03T08:45:00+00:00,PT15M
0,20,2025-01-03T09:00:00+00:00,PT15M
0,26,2025-01-03T09:15:00+00:00,PT15M
0,33,2025-01-03T09:30:00+00:00,PT15M
0,41,2025-01-03T09:45:00+00:00,PT15M
0,48,2025-01-03T10:00:00+00:00,PT15M
0,54,2025-01-03T10:15:00+00:00,PT15M
0,67,2025-01-03T10:30:00+00:00,PT15M
0,90,2025-01-03T10:45:00+00:00,PT15M
0,123,2025-01-03T11:00:00+00:00,PT15M
0,95,2025-01-03T11:15:00+00:00,PT15M
0,94,2025-01-03T11:30:00+00:00,PT15M
0,90,2025-01-03T11:45:00+00:00,PT15M
0,87,2025-01-03T12:00:00+00:00,PT15M
0,73,2025-01-03T12:15:00+00:00,PT15M
0,90,2025-01-03T12:30:00+00:00,PT15M
0,58,2025-01-03T12:45:00+00:00,PT15M
0,38,2025-01-03T13:00:00+00:00,PT15M
0,28,2025-01-03T13:15:00+00:00,PT15M
0,26,2025-01-03T13:30:00+00:00,PT15M
0,23,2025-01-03T13:45:00+00:00,PT15M
0,30,2025-01-03T14:00:00+00:00,PT15M
0,38,2025-01-03T14:15:00+00:00,PT15M
0,46,2025-01-03T14:30:00+00:00,PT15M
0,27,2025-01-03T14:45:00+00:00,PT15M
0,22,2025-01-03T15:00:00+00:00,PT15M
0,15,2025-01-03T15:15:00+00:00,PT15M
0,13,2025-01-03T15:30:00+00:00,PT15M
0,1,2025-01-03T15:45:00+00:00,PT15M
0,0,2025-01-03T16:00:00+00:00,PT15M
0,0,2025-01-03T16:15:00+00:00,PT15M
0,0,2025-01-03T16:30:00+00:00,PT15M
0,0,2025-01-03T16:45:00+00:00,PT15M
0,0,2025-01-03T17:00:00+00:00,PT15M
0,0,2025-01-03T17:15:00+00:00,PT15M
0,0,2025-01-03T17:30:00+00:00,PT15M
0,0,2025-01-03T17:45:00+00:00,PT15M
0,0,2025-01-03T18:00:00+00:00,PT15M
0,0,2025-01-03T18:15:00+00:00,PT15M
0,0,2025-01-03T18:30:00+00:00,PT15M
0,0,2025-01-03T18:45:00+00:00,PT15M
0,0,2025-01-03T19:00:00+00:00,PT15M
0,0,2025-01-03T19:15:00+00:00,PT15M
0,0,2025-01-03T19:30:00+00:00,PT15M
0,0,2025-01-03T19:45:00+00:00,PT15M
0,0,2025-01-03T20:00:00+00:00,PT15M
0,0,2025-01-03T20:15:00+00:00,PT15M
0,0,2025-01-03T20:30:00+00:00,PT15M
0,0,2025-01-03T20:45:00+00:00,PT15M
0,0,2025-01-03T21:00:00+00:00,PT15M
0,0,2025-01-03T21:15:00+00:00,PT15M
0,0,2025-01-03T21:30:00+00:00,PT15M
0,0,2025-01-03T21:45:00+00:00,PT15M
0,0,2025-01-03T22:00:00+00:00,PT15M
0,0,2025-01-03T22:15:00+00:00,PT15M
0,0,2025-01-03T22:30:00+00:00,PT15M
0,0,2025-01-03T22:45:00+00:00,PT15M
0,0,2025-01-03T23:00:00+00:00,PT15M
0,0,2025-01-03T23:15:00+00:00,PT15M
0,0,2025-01-03T23:30:00+00:00,PT15M
0,0,2025-01-03T23:45:00+00:00,PT15M
0,0,2025-01-04T00:00:00+00:00,PT15M
0,0,2025-01-04T00:15:00+00:00,PT15M
0,0,2025-01-04T00:30:00+00:00,PT15M
0,0,2025-01-04T00:45:00+00:00,PT15M
0,0,2025-01-04T01:00:00+00:00,PT15M
0,0,2025-01-04T01:15:00+00:00,PT15M
0,0,2025-01-04T01:30:00+00:00,PT15M
0,0,2025-01-04T01:45:00+00:00,PT15M
0,0,2025-01-04T02:00:00+00:00,PT15M
0,0,2025-01-04T02:15:00+00:00,PT15M
0,0,2025-01-04T02:30:00+00:00,PT15M
0,0,2025-01-04T02:45:00+00:00,PT15M
0,0,2025-01-04T03:00:00+00:00,PT15M
0,0,2025-01-04T03:15:00+00:00,PT15M
0,0,2025-01-04T03:30:00+00:00,PT15M
0,0,2025-01-04T03:45:00+00:00,PT15M
0,0,2025-01-04T04:00:00+00:00,PT15M
0,0,2025-01-04T04:15:00+00:00,PT15M
0,0,2025-01-04T04:30:00+00:00,PT15M
0,0,2025-01-04T04:45:00+00:00,PT15M
0,0,2025-01-04T05:00:00+00:00,PT15M
0,0,2025-01-04T05:15:00+00:00,PT15M
0,0,2025-01-04T05:30:00+00:00,PT15M
0,0,2025-01-04T05:45:00+00:00,PT15M
0,0,2025-01-04T06:00:00+00:00,PT15M
0,0,2025-01-04T06:15:00+00:00,PT15M
0,0,2025-01-04T06:30:00+00:00,PT15M
0,0,2025-01-04T06:45:00+00:00,PT15M
31,12,2025-01-04T07:00:00+00:00,PT15M
232,41,2025-01-04T07:15:00+00:00,PT15M
293,69,2025-01-04T07:30:00+00:00,PT15M
503,109,2025-01-04T07:45:00+00:00,PT15M
571,145,2025-01-04T08:00:00+00:00,PT15M
625,181,2025-01-04T08:15:00+00:00,PT15M
668,215,2025-01-04T08:30:00+00:00,PT15M
704,248,2025-01-04T08:45:00+00:00,PT15M
733,279,2025-01-04T09:00:00+00:00,PT15M
758,307,2025-01-04T09:15:00+00:00,PT15M
778,333,2025-01-04T09:30:00+00:00,PT15M
796,356,2025-01-04T09:45:00+00:00,PT15M
812,377,2025-01-04T10:00:00+00:00,PT15M
825,394,2025-01-04T10:15:00+00:00,PT15M
836,408,2025-01-04T10:30:00+00:00,PT15M
843,418,2025-01-04T10:45:00+00:00,PT15M
846,424,2025-01-04T11:00:00+00:00,PT15M
848,428,2025-01-04T11:15:00+00:00,PT15M
848,428,2025-01-04T11:30:00+00:00,PT15M
846,424,2025-01-04T11:45:00+00:00,PT15M
842,417,2025-01-04T12:00:00+00:00,PT15M
836,406,2025-01-04T12:15:00+00:00,PT15M
821,392,2025-01-04T12:30:00+00:00,PT15M
759,367,2025-01-04T12:45:00+00:00,PT15M
731,345,2025-01-04T13:00:00+00:00,PT15M
421,279,2025-01-04T13:15:00+00:00,PT15M
79,204,2025-01-04T13:30:00+00:00,PT15M
12,173,2025-01-04T13:45:00+00:00,PT15M
6,151,2025-01-04T14:00:00+00:00,PT15M
0,119,2025-01-04T14:15:00+00:00,PT15M
0,91,2025-01-04T14:30:00+00:00,PT15M
0,80,2025-01-04T14:45:00+00:00,PT15M
120,79,2025-01-04T15:00:00+00:00,PT15M
41,53,2025-01-04T15:15:00+00:00,PT15M
0,24,2025-01-04T15:30:00+00:00,PT15M
0,6,2025-01-04T15:45:00+00:00,PT15M
0,0,2025-01-04T16:00:00+00:00,PT15M
0,0,2025-01-04T16:15:00+00:00,PT15M
0,0,2025-01-04T16:30:00+00:00,PT15M
0,0,2025-01-04T16:45:00+00:00,PT15M
0,0,2025-01-04T17:00:00+00:00,PT15M
0,0,2025-01-04T17:15:00+00:00,PT15M
0,0,2025-01-04T17:30:00+00:00,PT15M
0,0,2025-01-04T17:45:00+00:00,PT15M
0,0,2025-01-04T18:00:00+00:00,PT15M
0,0,2025-01-04T18:15:00+00:00,PT15M
0,0,2025-01-04T18:30:00+00:00,PT15M
0,0,2025-01-04T18:45:00+00:00,PT15M
0,0,2025-01-04T19:00:00+00:00,PT15M
0,0,2025-01-04T19:15:00+00:00,PT15M
0,0,2025-01-04T19:30:00+00:00,PT15M
0,0,2025-01-04T19:45:00+00:00,PT15M
0,0,2025-01-04T20:00:00+00:00,PT15M
0,0,2025-01-04T20:15:00+00:00,PT15M
0,0,2025-01-04T20:30:00+00:00,PT15M
0,0,2025-01-04T20:45:00+00:00,PT15M
0,0,2025-01-04T21:00:00+00:00,PT15M
0,0,2025-01-04T21:15:00+00:00,PT15M
0,0,2025-01-04T21:30:00+00:00,PT15M
0,0,2025-01-04T21:45:00+00:00,PT15M
0,0,2025-01-04T22:00:00+00:00,PT15M
0,0,2025-01-04T22:15:00+00:00,PT15M
0,0,2025-01-04T22:30:00+00:00,PT15M
0,0,2025-01-04T22:45:00+00:00,PT15M
0,0,2025-01-04T23:00:00+00:00,PT15M
0,0,2025-01-04T23:15:00+00:00,PT15M
0,0,2025-01-04T23:30:00+00:00,PT15M
0,0,2025-01-04T23:45:00+00:00,PT15M
0,0,2025-01-05T00:00:00+00:00,PT15M
0,0,2025-01-05T00:15:00+00:00,PT15M
0,0,2025-01-05T00:30:00+00:00,PT15M
0,0,2025-01-05T00:45:00+00:00,PT15M
0,0,2025-01-05T01:00:00+00:00,PT15M
0,0,2025-01-05T01:15:00+00:00,PT15M
0,0,2025-01-05T01:30:00+00:00,PT15M
0,0,2025-01-05T01:45:00+00:00,PT15M
0,0,2025-01-05T02:00:00+00:00,PT15M
0,0,2025-01-05T02:15:00+00:00,PT15M
0,0,2025-01-05T02:30:00+00:00,PT15M
0,0,2025-01-05T02:45:00+00:00,PT15M
0,0,2025-01-05T03:00:00+00:00,PT15M
0,0,2025-01-05T03:15:00+00:00,PT15M
0,0,2025-01-05T03:30:00+00:00,PT15M
0,0,2025-01-05T03:45:00+00:00,PT15M
0,0,2025-01-05T04:00:00+00:00,PT15M
0,0,2025-01-05T04:15:00+00:00,PT15M
0,0,2025-01-05T04:30:00+00:00,PT15M
0,0,2025-01-05T04:45:00+00:00,PT15M
0,0,2025-01-05T05:00:00+00:00,PT15M
0,0,2025-01-05T05:15:00+00:00,PT15M
0,0,2025-01-05T05:30:00+00:00,PT15M
0,0,2025-01-05T05:45:00+00:00,PT15M
0,0,2025-01-05T06:00:00+00:00,PT15M
0,0,2025-01-05T06:15:00+00:00,PT15M
0,0,2025-01-05T06:30:00+00:00,PT15M
0,0,2025-01-05T06:45:00+00:00,PT15M
0,8,2025-01-05T07:00:00+00:00,PT15M
0,20,2025-01-05T07:15:00+00:00,PT15M
0,19,2025-01-05T07:30:00+00:00,PT15M
0,21,2025-01-05T07:45:00+00:00,PT15M
0,27,2025-01-05T08:00:00+00:00,PT15M
0,35,2025-01-05T08:15:00+00:00,PT15M
0,57,2025-01-05T08:30:00+00:00,PT15M
0,75,2025-01-05T08:45:00+00:00,PT15M
0,78,2025-01-05T09:00:00+00:00,PT15M
0,88,2025-01-05T09:15:00+00:00,PT15M
0,73,2025-01-05T09:30:00+00:00,PT15M
0,75,2025-01-05T09:45:00+00:00,PT15M
0,80,2025-01-05T10:00:00+00:00,PT15M
0,75,2025-01-05T10:15:00+00:00,PT15M
0,82,2025-01-05T10:30:00+00:00,PT15M
0,99,2025-01-05T10:45:00+00:00,PT15M
0,101,2025-01-05T11:00:00+00:00,PT15M
0,104,2025-01-05T11:15:00+00:00,PT15M
0,142,2025-01-05T11:30:00+00:00,PT15M
0,207,2025-01-05T11:45:00+00:00,PT15M
0,214,2025-01-05T12:00:00+00:00,PT15M
0,175,2025-01-05T12:15:00+00:00,PT15M
0,173,2025-01-05T12:30:00+00:00,PT15M
0,149,2025-01-05T12:45:00+00:00,PT15M
0,119,2025-01-05T13:00:00+00:00,PT15M
45,184,2025-01-05T13:15:00+00:00,PT15M
529,269,2025-01-05T13:30:00+00:00,PT15M
662,262,2025-01-05T13:45:00+00:00,PT15M
635,233,2025-01-05T14:00:00+00:00,PT15M
561,198,2025-01-05T14:15:00+00:00,PT15M
369,151,2025-01-05T14:30:00+00:00,PT15M
298,120,2025-01-05T14:45:00+00:00,PT15M
63,70,2025-01-05T15:00:00+00:00,PT15M
0,38,2025-01-05T15:15:00+00:00,PT15M
0,24,2025-01-05T15:30:00+00:00,PT15M
0,5,2025-01-05T15:45:00+00:00,PT15M
0,0,2025-01-05T16:00:00+00:00,PT15M
0,0,2025-01-05T16:15:00+00:00,PT15M
0,0,2025-01-05T16:30:00+00:00,PT15M
0,0,2025-01-05T16:45:00+00:00,PT15M
0,0,2025-01-05T17:00:00+00:00,PT15M
0,0,2025-01-05T17:15:00+00:00,PT15M
0,0,2025-01-05T17:30:00+00:00,PT15M
0,0,2025-01-05T17:45:00+00:00,PT15M
0,0,2025-01-05T18:00:00+00:00,PT15M
0,0,2025-01-05T18:15:00+00:00,PT15M
0,0,2025-01-05T18:30:00+00:00,PT15M
0,0,2025-01-05T18:45:00+00:00,PT15M
0,0,2025-01-05T19:00:00+00:00,PT15M
0,0,2025-01-05T19:15:00+00:00,PT15M
0,0,2025-01-05T19:30:00+00:00,PT15M
0,0,2025-01-05T19:45:00+00:00,PT15M
0,0,2025-01-05T20:00:00+00:00,PT15M
0,0,2025-01-05T20:15:00+00:00,PT15M
0,0,2025-01-05T20:30:00+00:00,PT15M
0,0,2025-01-05T20:45:00+00:00,PT15M
0,0,2025-01-05T21:00:00+00:00,PT15M
0,0,2025-01-05T21:15:00+00:00,PT15M
0,0,2025-01-05T21:30:00+00:00,PT15M
0,0,2025-01-05T21:45:00+00:00,PT15M
0,0,2025-01-05T22:00:00+00:00,PT15M
0,0,2025-01-05T22:15:00+00:00,PT15M
0,0,2025-01-05T22:30:00+00:00,PT15M
0,0,2025-01-05T22:45:00+00:00,PT15M
0,0,2025-01-05T23:00:00+00:00,PT15M
0,0,2025-01-05T23:15:00+00:00,PT15M
0,0,2025-01-05T23:30:00+00:00,PT15M
0,0,2025-01-05T23:45:00+00:00,PT15M
0,0,2025-01-06T00:00:00+00:00,PT15M
0,0,2025-01-06T00:15:00+00:00,PT15M
0,0,2025-01-06T00:30:00+00:00,PT15M
0,0,2025-01-06T00:45:00+00:00,PT15M
0,0,2025-01-06T01:00:00+00:00,PT15M
0,0,2025-01-06T01:15:00+00:00,PT15M
0,0,2025-01-06T01:30:00+00:00,PT15M
0,0,2025-01-06T01:45:00+00:00,PT15M
0,0,2025-01-06T02:00:00+00:00,PT15M
0,0,2025-01-06T02:15:00+00:00,PT15M
0,0,2025-01-06T02:30:00+00:00,PT15M
0,0,2025-01-06T02:45:00+00:00,PT15M
0,0,2025-01-06T03:00:00+00:00,PT15M
0,0,2025-01-06T03:15:00+00:00,PT15M
0,0,2025-01-06T03:30:00+00:00,PT15M
0,0,2025-01-06T03:45:00+00:00,PT15M
0,0,2025-01-06T04:00:00+00:00,PT15M
0,0,2025-01-06T04:15:00+00:00,PT15M
0,0,2025-01-06T04:30:00+00:00,PT15M
0,0,2025-01-06T04:45:00+00:00,PT15M
0,0,2025-01-06T05:00:00+00:00,PT15M
0,0,2025-01-06T05:15:00+00:00,PT15M
0,0,2025-01-06T05:30:00+00:00,PT15M
0,0,2025-01-06T05:45:00+00:00,PT15M
0,0,2025-01-06T06:00:00+00:00,PT15M
0,0,2025-01-06T06:15:00+00:00,PT15M
0,0,2025-01-06T06:30:00+00:00,PT15M
0,0,2025-01-06T06:45:00+00:00,PT15M
0,5,2025-01-06T07:00:00+00:00,PT15M
0,11,2025-01-06T07:15:00+00:00,PT15M
0,22,2025-01-06T07:30:00+00:00,PT15M
0,48,2025-01-06T07:45:00+00:00,PT15M
0,73,2025-01-06T08:00:00+00:00,PT15M
0,101,2025-01-06T08:15:00+00:00,PT15M
45,142,2025-01-06T08:30:00+00:00,PT15M
249,191,2025-01-06T08:45:00+00:00,PT15M
621,263,2025-01-06T09:00:00+00:00,PT15M
8,188,2025-01-06T09:15:00+00:00,PT15M
220,247,2025-01-06T09:30:00+00:00,PT15M
586,322,2025-01-06T09:45:00+00:00,PT15M
14,230,2025-01-06T10:00:00+00:00,PT15M
259,294,2025-01-06T10:15:00+00:00,PT15M
118,265,2025-01-06T10:30:00+00:00,PT15M
0,156,2025-01-06T10:45:00+00:00,PT15M
0,155,2025-01-06T11:00:00+00:00,PT15M
0,193,2025-01-06T11:15:00+00:00,PT15M
39,261,2025-01-06T11:30:00+00:00,PT15M
0,150,2025-01-06T11:45:00+00:00,PT15M
0,172,2025-01-06T12:00:00+00:00,PT15M
0,141,2025-01-06T12:15:00+00:00,PT15M
0,183,2025-01-06T12:30:00+00:00,PT15M
0,182,2025-01-06T12:45:00+00:00,PT15M
0,188,2025-01-06T13:00:00+00:00,PT15M
0,159,2025-01-06T13:15:00+00:00,PT15M
0,149,2025-01-06T13:30:00+00:00,PT15M
0,105,2025-01-06T13:45:00+00:00,PT15M
0,62,2025-01-06T14:00:00+00:00,PT15M
0,57,2025-01-06T14:15:00+00:00,PT15M
